序号,时间,名称
14,"27.05.2024
11:12",MMIXware: A RISC Computer for the Third Millennium
15,"27.05.2024
11:12",Leaders in Computing: Changing the digital world
16,"27.05.2024
11:09",Literate Programming
17,"27.05.2024
11:00",Récoltes et semailles
18,"27.05.2024
11:00","Récoltes et semailles, I"
139,"27.04.2024
20:01",华罗庚文集 数论卷I
140,"27.04.2024
19:58",数学模型选谈
141,"27.04.2024
19:58",华罗庚文集: 数论卷II 数论导引
142,"27.04.2024
16:03",Modern Vim: Craft Your Development Environment with Vim 8 and Neovim
68,"27.03.2024
18:17",Dynamic Programming and Partial Differential Equations
69,"27.03.2024
18:16","Deep Learning with Python, Second Edition"
70,"27.03.2024
18:16",R语言实战 第2版 (图灵程序设计丛书)
71,"27.03.2024
18:16",深度强化学习实践(原书第2版)
72,"27.03.2024
18:14",自然语言处理实战
73,"27.03.2024
18:14",大模型应用开发极简入门：基于 GPT-4 和 ChatGPT
74,"27.03.2024
18:11",可视化微分几何和形式：一部五幕数学正剧
75,"27.03.2024
18:11",Visual Complex Analysis: 25th Anniversary Edition
76,"27.03.2024
18:10",Visual Differential Geometry and Forms: A Mathematical Drama in Five Acts
229,"27.03.2024
11:13",A first course in the numerical analysis of differential equations
230,"27.03.2024
06:50","Optimal Transport for Applied Mathematicians: Calculus of Variations, PDEs, and Modeling"
231,"27.03.2024
06:50",Lectures on Optimal Transport
232,"27.03.2024
06:50","An Invitation to Optimal Transport, Wasserstein Distances, and Gradient Flows"
233,"27.03.2024
06:50",Optimal Transport: Theory and Applications
234,"27.03.2024
06:43",Introduction to Deep Learning
235,"27.03.2024
06:41",Deep Learning
19,"26.05.2024
15:33",Souvenirs d'apprentissage
20,"26.05.2024
14:45",The Apprenticeship of a Mathematician
143,"26.04.2024
07:19",重构：改善既有代码的设计（第2版）（异步图书）
144,"26.04.2024
06:49","Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
145,"26.04.2024
06:47",Effective PyCharm
146,"26.04.2024
06:37",AutoCAD 2021 VS Code Update: For AutoCAD Expert’s Visual LISP (AutoCAD Expert's Visual LISP Book 5)
236,"26.03.2024
17:37",微积分学教程 三卷合一
237,"26.03.2024
15:50",庞加莱猜想+追寻宇宙的形状
238,"26.03.2024
12:52",Finite Element Procedures 2nd edition sixth printing 2019
123,"26.02.2024
12:04",C程序设计语言
124,"26.02.2024
06:07",Rust编程：入门、实战与进阶
162,"26.01.2024
06:55",An Introduction to the Analysis of Algorithms
163,"26.01.2024
06:55",Introduction to Programming in Python: An Interdisciplinary Approach
164,"26.01.2024
06:55",Analytic Combinatorics
165,"26.01.2024
06:55","Algorithms (part 2, electronic edition)"
166,"26.01.2024
06:55","Algorithms (part 1, electronic edition)"
167,"26.01.2024
06:53",算法 第四版 Algorithms (4th Edition)(Chinese Edition)
168,"26.01.2024
06:51",Introduction to Hilbert spaces with applications
21,"25.05.2024
17:23",Perfect Rigor: A Genius and the Mathematical Breakthrough of the Century
22,"25.05.2024
16:26",人生十二法则2（现象级畅销书《人生十二法则》作者全新力作，给面对生活暴击但依旧善良的人，非凡的勇气与智慧）
23,"25.05.2024
16:26",人生十二法则
24,"25.05.2024
15:00",12 Rules For Life
25,"25.05.2024
14:30",桃花扇（中国古典文学读本丛书）
26,"25.05.2024
14:29",中华经典名剧：桃花扇 (中华书局出品)
27,"25.05.2024
08:32",到奴役之路 (The Road to Serfdom) [殷海光全集4]
28,"25.05.2024
08:05",Der Weg zur Knechtschaft
29,"25.05.2024
07:17",Google系统架构解密 构建安全可靠的系统 2021
147,"25.04.2024
06:43",Advanced Git: Understanding Git Collaboration & Workflows (2nd Edition)
148,"25.04.2024
06:43",Git Essentials
149,"25.04.2024
06:43",Pro Git: Everything You Need to Know About Git
150,"25.04.2024
06:43",Git: Learn Version Control with Git: A step-by-step Ultimate beginners Guide
151,"25.04.2024
06:43",Head First Git
152,"25.04.2024
05:04",终身成长：重新定义成功的思维模式 = Mindset: The New Psychology of Success
153,"25.04.2024
04:57",交互式定理证明与程序开发：Coq归纳构造演算的艺术
154,"25.04.2024
04:57",Computer Arithmetic and Formal Proofs: Verifying Floating-point Algorithms with the Coq System (Computer Engineering)
125,"25.02.2024
03:50",最优传输理论与计算
169,"25.01.2024
13:09",[图灵程序设计丛书].高效算法：竞赛、应试与提高必修128例
170,"25.01.2024
13:09",算法竞赛入门经典（第二版）
30,"24.05.2024
07:51",Introduction to Algorithms
31,"24.05.2024
07:48",Algorithms Unlocked
32,"24.05.2024
07:48",Introduction to Programming in Python: An Interdisciplinary Approach
33,"24.05.2024
07:48",An Introduction to the Analysis of Algorithms
34,"24.05.2024
07:47",Introduction to algorithms
35,"24.05.2024
07:38",Introduction to Computation and Programming Using Python
36,"24.05.2024
07:38",Python编程导论.第2版
37,"24.05.2024
07:37",C程序设计语言
38,"24.05.2024
07:37",The C Programming Language
39,"24.05.2024
07:36",C++ Primer
155,"24.04.2024
18:33",大教堂与集市（开源运动的《圣经》，中文版首次出版）
156,"24.04.2024
18:22",On Lisp
157,"24.04.2024
17:59",Practical Common Lisp
158,"24.04.2024
17:59",Paradigms of artificial intelligence programming: case studies in Common Lisp
159,"24.04.2024
17:59",ANSI Common LISP
160,"24.04.2024
17:47",Visual Studio Code for Python Programmers
161,"24.04.2024
17:47",Visual Studio Code 权威指南
162,"24.04.2024
17:38",人月神话(40周年中文纪念版)
163,"24.04.2024
17:37",人月神话(二十周年纪念版)
171,"24.01.2024
21:02",C语言程序设计：零基础ACM/ICPC竞赛实战
172,"24.01.2024
20:59",ACM Turing Award Lectures : The First Twenty Years : 1966 to 1985 (ACM Press Anthology Series)
40,"23.05.2024
15:49",纯粹理性批判
41,"23.05.2024
15:40",康德《纯粹理性批判》句读
42,"23.05.2024
13:20",Immanuel Kant: Die drei Kritiken - Kritik der reinen Vernunft. Kritik der praktischen Vernunft. Kritik der Urteilskraft
43,"23.05.2024
13:18",Kritik der reinen Vernunft
164,"23.04.2024
17:10",Introduction to Fourier Analysis and Wavelets
165,"23.04.2024
17:09",Primer on Wavelets and Their Scientific Applications
126,"23.02.2024
14:35",Combinators: A Centennial View
127,"23.02.2024
14:34",Hands-On Start to Wolfram Mathematica: And Programming with the Wolfram Language
128,"23.02.2024
08:28",A new kind of science
129,"23.02.2024
08:28",Julia: High Performance Programming (Learning Path) (NOT true pdf)
130,"23.02.2024
08:28",Fortran 2018 With Parallel Programming
131,"23.02.2024
08:28","Statistics with Julia: Fundamentals for Data Science, Machine Learning and Artificial Intelligence"
132,"23.02.2024
05:48",rust实战
133,"23.02.2024
05:44",Adventures of a Computational Explorer
134,"23.02.2024
05:44",Idea Makers: Personal Perspectives on the Lives & Ideas of Some Notable People
173,"23.01.2024
17:14","从切比雪夫到爱尔特希 上, 素数定理的初等证明"
174,"23.01.2024
17:11",Numerical Analysis: Mathematics of Scientific Computing
175,"23.01.2024
17:10",Numerical Mathematics and Computing
176,"23.01.2024
17:08",数值分析
239,"22.03.2024
18:39",GPU Programming in MATLAB
240,"22.03.2024
18:39","Productive and Efficient Data Science with Python: With Modularizing, Memory profiles, and Parallel/GPU Processing"
241,"22.03.2024
18:36","Parallel Computing for Data Science - With Examples in R, C++ and CUDA"
242,"22.03.2024
18:35",GPU Parallel Program Development Using CUDA
243,"22.03.2024
18:35",Modern Data Mining Algorithms in C++ and CUDA C: Recent Developments in Feature Extraction and Selection Algorithms for Data Science
244,"22.03.2024
18:35",CUDA C++ Programming Guide
245,"22.03.2024
18:35",GPU高性能编程CUDA实战
246,"22.03.2024
18:34",Programming in Parallel with CUDA: A Practical Guide
247,"22.03.2024
18:33",CUDA C编程权威指南 (高性能计算技术丛书)
77,"22.03.2024
13:32",Numerical recipes in Fortran 77 and 90
135,"22.02.2024
13:44",Vibration Simulation Using MATLAB and ANSYS
136,"22.02.2024
12:46",Ansys Mechanical APDL Verification Manual
137,"22.02.2024
12:46",Mechanical APDL as a Server User's Guide
138,"22.02.2024
12:46",ANSYS Mechanical APDL for Finite Element Analysis
177,"22.01.2024
11:40",上帝创造整数
