序号,时间,名称
95,"10.05.2024
14:30",腓尼基启示录（幻象文库）【“科技狂人”马斯克多次致敬，扎克伯格将其列入必读书单！当代科幻的颠覆之作，关于宇宙生命的恢弘想象和史诗性篇章！世界科幻大师“当代狄更斯”伊恩M.班克斯经典系列首次国内全线引进！】
96,"10.05.2024
14:28",严厉的月亮
97,"10.05.2024
14:28",贩卖怀疑的商人
98,"10.05.2024
14:25",Ignition! An informal history of liquid rocket propellants
99,"10.05.2024
14:25",Our Final Invention: Artificial Intelligence and the End of the Human Era Hardcover
100,"10.05.2024
14:24",超级智能：路线图、危险性与应对策略
101,"10.05.2024
14:24",富兰克林传
102,"10.05.2024
14:23",银河系搭车客指南
183,"10.04.2024
18:57",Computational complexity theory
184,"10.04.2024
18:57",Mathematics and Computation: A Theory Revolutionizing Technology and Science
185,"10.04.2024
06:34",Haskell Data Analysis Cookbook
186,"10.04.2024
06:31",Functional Design and Architecture
187,"10.04.2024
06:31","Haskell Cookbook: Build functional applications using Monads, Applicatives, and Functors"
188,"10.04.2024
05:50",Python函数式编程（第2版）（图灵图书）
107,"10.03.2024
04:50",Dynamics of Structures
108,"10.03.2024
04:48","Earthquake engineering for concrete dams analysis, design, and evaluation"
109,"10.03.2024
04:47",Structural Dynamics: Theory and Computation
110,"10.03.2024
04:47",Mechanical Vibrations: Theory and Application to Structural Dynamics
111,"10.03.2024
04:47","Dynamics of Structures, 5/e"
189,"09.04.2024
07:34",Haskell函数式编程入门（第2版）第1卷
190,"09.04.2024
07:30",Haskell函数式编程入门（第2版）第2卷
191,"09.04.2024
07:29",函数式编程思维 (图灵程序设计丛书)
192,"09.04.2024
05:55",Haskell: The Ultimate Beginner's Guide to Learn Haskell Programming Step by Step
193,"09.04.2024
05:55",An Introduction to Functional Programming Through Lambda Calculus
194,"09.04.2024
05:54",Haskell in Depth
195,"09.04.2024
05:46",OpenCV计算机视觉编程攻略（第3版）
196,"09.04.2024
05:46",Algebra: Third Edition
286,"09.03.2024
17:46",结构动力学
287,"09.03.2024
17:14",PowerShell in Depth: An administrator's guide
103,"08.05.2024
09:15",Google时代的工作方法
104,"08.05.2024
09:15",Google工作整理术
105,"08.05.2024
09:14",Google工作法（有野心把未来变现的公司是这样工作的！解密Google内部10倍速工作法，让你在AI时代走得比世界更快。）
106,"08.05.2024
09:13",深度工作7步法：谷歌精英如何提升自己
107,"08.05.2024
09:12",人有人的用处
19,"08.05.2024
09:10",人有人的用处：控制论与社会
20,"08.05.2024
08:52","大脑的一天·鹈鹕丛书【企鹅图书经典非虚构丛书！牛津大学神经科学家，用跨学科的研究方法，以一个人的一天为实验情境，为读者揭示""意识""的科学奥秘！】"
21,"08.05.2024
08:52",结构是什么？（畅销40年不衰的企鹅经典，特斯拉CEO、硅谷钢铁侠埃隆·马斯克推荐读物）
22,"08.05.2024
08:52",特斯拉传：实现不可能（硅谷钢铁侠埃隆·马斯克舍命狂奔背后的生存哲学，特斯拉官方传记）
23,"08.05.2024
08:51",硅谷钢铁侠：埃隆·马斯克的冒险人生
24,"08.05.2024
08:51",像火箭科学家一样思考：将不可能变为可能（亚马逊新书畅销榜TOP 4/年度非虚构类畅销榜TOP 20；Inc.杂志2020年度必读商业佳作TOP 6；版权狂销英、德、日、韩等14国；年度最有趣新人作家处女作 吴晓波/罗振宇/万维钢/刘润诚挚推荐 NASA、SpaceX绝境逢生的幕后花絮）
25,"08.05.2024
08:42",爱、金钱和孩子：育儿经济学
26,"08.05.2024
08:42",如何高效学习：1年完成麻省理工4年33门课程的整体性学习法
27,"08.05.2024
08:41",小狗钱钱
28,"08.05.2024
08:41",考试脑科学
288,"08.03.2024
09:23",PowerShell Cookbook: Your Complete Guide to Scripting the Ubiquitous Object-Based Shell
289,"08.03.2024
09:23",Essential PowerShell for Office 365
290,"08.03.2024
09:22",Windows PowerShell in Action
291,"08.03.2024
09:22",Powershell and Python Together: Targeting Digital Investigations
292,"08.03.2024
09:22",PowerShell for Sysadmins: Workflow Automation Made Easy
293,"08.03.2024
09:21",The Go Programming Language
294,"08.03.2024
09:21",Go in Action
155,"08.02.2024
18:15",Professional CMake: A Practical Guide
108,"07.05.2024
08:08","Ordinary Differential Equations: Analysis, Qualitative Theory and Control"
109,"07.05.2024
08:08",A primer on the calculus of variations and optimal control theory
110,"07.05.2024
08:08","Theory of Applied Robotics: Kinematics, Dynamics, and Control (2nd Edition)"
111,"07.05.2024
08:06",Architectural Design of Multi-Agent Systems: Technologies and Techniques
112,"07.05.2024
08:06",Real World Haskell
113,"07.05.2024
08:06",Algorithms for Reinforcement Learning
114,"07.05.2024
08:06",Command-Line Rust: A Project-Based Primer for Writing Rust CLIs
115,"07.05.2024
05:09",Poor Charlies Almanack: The Wit and Wisdom of Charles T. Munger
59,"07.04.2024
18:43",Object-oriented programming in Common LISP: a programmer's guide to CLOS
60,"07.04.2024
18:43",Natural Language Processing in Lisp: An Introduction to Computational Linguistics
61,"07.04.2024
18:42",Scheme and The Art of Programming
62,"07.04.2024
18:42",Paradigms of artificial intelligence programming: case studies in Common Lisp
63,"07.04.2024
17:49",PyTorch生成对抗网络编程
64,"07.04.2024
17:49",Machine Learning With PyTorch and Scikit-Learn
65,"07.04.2024
17:49",Deep Learning With Pytorch
66,"07.04.2024
17:49","Machine Learning with Python Cookbook, 2nd Edition"
67,"07.04.2024
17:49",Machine Learning with TensorFlow - Second Edition
197,"07.04.2024
14:35",Programming in Haskell
198,"07.04.2024
14:35",Get Programming with Haskell
199,"07.04.2024
14:35",Haskell Programming from First Principles
200,"07.04.2024
05:36",A Survey of Modern Algebra: Fifth Edition
201,"07.04.2024
05:36",近世代数概论（第5版）
202,"07.04.2024
05:36",Ordinary differential equations
203,"07.04.2024
05:28","Computer Vision: Principles, Algorithms, Applications, Learning"
204,"07.04.2024
05:28",Computer Vision: Algorithms and Applications (Texts in Computer Science)
205,"07.04.2024
05:27",计算机视觉——算法与应用
112,"07.03.2024
05:16",Deep Learning.
113,"07.03.2024
05:15",Mathematics For Machine Learning
114,"07.03.2024
05:15",Approaching (Almost) Any Machine Learning Problem
29,"06.05.2024
10:08",2018自动驾驶与人工智能研究报告1
30,"06.05.2024
10:08",自动驾驶（前沿版）
31,"06.05.2024
10:07",智能化未来：无人驾驶将如何改变我们的生活（谷歌、特斯拉、苹果、百度纷纷主动参与的技术竞争，将为我们的生活带来哪些改变？第一本系统介绍自动驾驶、让人脑洞大开的趣味与深度兼具之作。上市后日本亚马逊经管类图书中一度排名第一。）
32,"06.05.2024
10:07",自动时代：无人驾驶重塑世界
33,"06.05.2024
10:07",无人驾驶：人工智能将从颠覆驾驶开始，全面重构人类生活
34,"06.05.2024
10:07",人工智能：智能驾驶
35,"06.05.2024
09:58",A Pathway Into Number Theory
36,"06.05.2024
09:57",Undergraduate Algebraic Geometry
37,"06.05.2024
09:56","Drive! - Henry Ford, George Selden, and the Race to Invent the Auto Age"
38,"06.05.2024
06:38",深入Windows编程
206,"06.04.2024
03:43",科学的反革命：理性滥用之研究（修订版）
207,"06.04.2024
03:43",哈耶克作品
208,"05.04.2024
04:03","Digital and Kalman Filtering: An Introduction to Discrete-Time Filtering and Optimum Linear Estimation, Second Edition (Dover Books on Engineering)"
209,"05.04.2024
04:03",Kalman filtering and neural networks
115,"05.03.2024
08:57","Developing Apps with GPT-4 and ChatGPT: Build Intelligent Chatbots, Content Generators, and More"
116,"05.03.2024
08:54",Mathematicians : an outer view of the inner world
117,"05.03.2024
08:54",The Apprenticeship of a Mathematician
156,"05.02.2024
14:56",弹性理论（第三版）
157,"05.02.2024
14:27",力学: 理论物理学教程 第一卷
158,"05.02.2024
13:23",Parallel and High Performance Computing
159,"05.02.2024
10:50",理论力学
160,"05.02.2024
10:15",Algorithms for Optimization
161,"05.02.2024
09:50",Modern Fortran: Building Efficient Parallel Applications
39,"04.05.2024
18:33","Numerical Methods and Optimization: Theory and Practice for Engineers (Springer Optimization and Its Applications, 187)"
40,"04.05.2024
18:28",凸优化
41,"04.05.2024
18:28","Introduction to Applied Linear Algebra: Vectors, Matrices, and Least Squares"
42,"04.05.2024
18:27","Convex Optimization, Solutions Manual"
43,"04.05.2024
18:27",Convex Optimization
210,"04.04.2024
05:02",Differential and integral equations
211,"04.04.2024
05:01",Principles of Differential and Integral Equations
212,"04.04.2024
05:01",Differential Equations in Abstract Spaces
213,"04.04.2024
04:56",Discrete Mathematics with Applications: Fifth Edition
214,"04.04.2024
04:56",Infinitesimal Calculus
215,"04.04.2024
04:56",A Panorama of Pure Mathematics (as Seen by N. Bourbaki)
216,"04.04.2024
04:56",Mathematical Methods in the Physical Sciences
217,"04.04.2024
04:56",The Foundations of Mathematics
218,"04.04.2024
04:56",Intuitive Understanding of Kalman Filtering with MATLAB
44,"03.05.2024
15:04",tmux Taster
45,"03.05.2024
15:03",GNU Emacs manual
46,"03.05.2024
15:03",自由软件，自由社会：理查德·斯托曼选集
47,"03.05.2024
15:03",自由软件，自由社会：理查德·斯托曼选集
48,"03.05.2024
15:03",An Introduction to Programming in Emacs Lisp
49,"03.05.2024
14:09",刷新：重新发现商业与未来
50,"03.05.2024
14:08",弃长安
51,"03.05.2024
05:45",Common Lisp Recipes: A Problem-Solution Approach
52,"03.05.2024
05:44",Modern Vim: Craft Your Development Environment with Vim 8 and Neovim
219,"03.04.2024
19:13",Introduction to Random Signals and Applied Kalman Filtering with Matlab Exercises
220,"03.04.2024
19:13",Kalman Filtering: with Real-Time Applications
221,"03.04.2024
19:13",Bayesian Inference of State Space Models: Kalman Filtering and Beyond
222,"03.04.2024
19:13",Lectures on Wiener and Kalman Filtering
223,"03.04.2024
19:13",Linear Estimation
224,"03.04.2024
19:13",Linear Systems
225,"03.04.2024
13:24","Introduction to Automata Theory, Languages, and Computations"
226,"03.04.2024
13:23",自动机理论、语言和计算导论（原书第2版）
227,"03.04.2024
13:23",Next generation of data mining
228,"03.04.2024
13:23",Randomized algorithms
304,"03.01.2024
19:56","数学史(1700-1900) I-III (Abrégé d'histoire des mathématiques, 1700–1900)"
305,"03.01.2024
19:55",数学者の孤独な冒険 : 数学と自己発見への旅 /Sūgakusha no kodoku na bōken : Sūgaku to jiko hakken eno tabi
306,"03.01.2024
19:54",Pour l'honneur de l'esprit humain: Les mathématiques aujourd'hui
307,"03.01.2024
19:51","Noncommutative Geometry, Quantum Fields, and Motives"
308,"03.01.2024
15:30",Noncommutative geometry
309,"03.01.2024
15:29",On Space and Time
310,"03.01.2024
15:27",美国国家地理全球史第一辑（套装共4册）【100多年历史文化内容的积淀，多学科团队精心创建，全球史视野，来自国际最高学府历史学家的权威前沿解读】
311,"03.01.2024
15:27",你听懂了没有（戴建业随笔精选集。谈人生、说爱情、论社会、品文艺…人可以不成大器，但必须活得真实！） (戴建业作品集)
312,"03.01.2024
15:25",我的个天（千万人点赞的网红教授随笔集，大话读书、工作、恋爱那些事儿，有才有识，让人拍案叫绝！我的个天！） (戴建业作品集 10)
313,"03.01.2024
10:25",人工智能 2版
314,"02.01.2024
14:24",我为什么要写作
315,"02.01.2024
14:20",我为什么要写作
118,"01.03.2024
14:16",TikZ and PGF manual
119,"01.03.2024
14:15","Gnuplot in Action, 2nd Edition: Understanding data with graphs"
120,"01.03.2024
12:38",Code to Joy: Why Everyone Should Learn a Little Programming
121,"01.03.2024
12:36",Complex Analysis: The Geometric Viewpoint
122,"01.03.2024
12:35",An Introduction to Complex Analysis and Geometry
